Model,Accuracy,Precision,Recall,F1,AUC
SVM,0.9742457689477557,0.9666182873730044,0.9823008849557522,0.9743964886613021,0.9936779592738424
Logistic Regression,0.7998528329654158,0.7883522727272727,0.8185840707964602,0.8031837916063675,0.8828549027761534
Perceptron,0.731420161883738,0.6901579586877278,0.8377581120943953,0.7568287808127915,N/A
DNN,0.9830757910228108,0.983751846381093,0.9823008849557522,0.9830258302583026,0.9948496701449803
